cell,predict_cell
PAT9(NDBE)_BL117,PAT19(LGD)_B_200
PAT9(NDBE)_BL118,PAT14(NDBE)_D_189
PAT9(NDBE)_BL119,PAT9(NDBE)_J_191
PAT9(NDBE)_BL122,PAT16(EAC)_A_343
PAT9(NDBE)_BL124,PAT16(NDBE)_B_316
PAT9(NDBE)_BL127,PAT16(EAC)_A_75
PAT9(NDBE)_BL132,PAT16(EAC)_A_234
PAT9(NDBE)_BL133,PAT9(NDBE)_J_188
PAT9(NDBE)_BL134,PAT16(EAC)_A_150
PAT9(NDBE)_BL138,PAT20(ESO)_E_94
PAT9(NDBE)_BL139,PAT6(LGD)_H_60
PAT9(NDBE)_BL140,PAT9(NDBE)_J_300
PAT9(NDBE)_BL141,PAT16(EAC)_A_161
PAT9(NDBE)_BL142,PAT6(LGD)_H_346
PAT9(NDBE)_BL143,PAT20(CARD)_F_8
PAT9(NDBE)_BL145,PAT20(ESO)_E_2
PAT9(NDBE)_BL146,PAT20(CARD)_F_370
