cell,predict_cell,step
PAT20(ESO)_AD279,PAT20(CARD)_F_293,1
PAT20(ESO)_AD281,PAT9(NDBE)_J_66,1
PAT20(ESO)_AD282,PAT14(NDBE)_D_134,1
PAT20(ESO)_AD283,PAT20(ESO)_E_126,1
PAT20(ESO)_AD287,PAT19(LGD)_B_326,1
PAT20(ESO)_AD288,PAT19(LGD)_B_305,1
PAT20(ESO)_AD289,PAT6(HGD)_I_11,1
PAT20(ESO)_AD293,PAT9(NDBE)_J_210,1
PAT20(ESO)_AD294,PAT19(LGD)_B_226,1
PAT20(ESO)_AD295,PAT20(CARD)_F_182,1
PAT20(ESO)_AD296,PAT20(CARD)_F_309,1
PAT20(ESO)_AD297,PAT9(NDBE)_J_192,1
PAT20(ESO)_AD298,PAT20(ESO)_E_182,1
PAT20(ESO)_AD300,PAT14(HGD)_C_119,1
PAT20(ESO)_AD302,PAT6(HGD)_I_289,1
PAT20(ESO)_AD304,PAT20(ESO)_E_369,1
PAT20(ESO)_AD306,PAT19(LGD)_B_233,1
PAT20(ESO)_AD309,PAT20(ESO)_E_153,1
PAT20(ESO)_AD315,PAT20(ESO)_E_189,1
PAT20(ESO)_AD316,PAT19(LGD)_B_6,1
PAT20(ESO)_AD318,PAT20(CARD)_F_65,1
PAT20(ESO)_AD319,PAT20(HGD1)_D_71,1
PAT20(ESO)_AD323,PAT20(ESO)_E_234,1
PAT20(ESO)_AD325,PAT14(NDBE)_D_148,1
PAT20(ESO)_AD326,PAT19(LGD)_B_169,1
PAT20(ESO)_AD327,PAT19(LGD)_B_316,1
PAT20(ESO)_AD328,PAT20(CARD)_F_352,1
PAT20(ESO)_AD329,PAT20(ESO)_E_255,1
PAT20(ESO)_AD330,PAT14(HGD)_C_332,1
PAT20(ESO)_AD331,PAT16(NDBE)_B_322,1
PAT20(ESO)_AD332,PAT20(HGD1)_D_291,1
PAT20(ESO)_AD335,PAT9(NDBE)_J_83,1
PAT20(ESO)_AD337,PAT14(NDBE)_D_190,1
PAT20(ESO)_AD338,PAT6(HGD)_I_259,1
PAT20(ESO)_AD339,PAT6(HGD)_I_162,1
PAT20(ESO)_AD340,PAT19(LGD)_B_358,1
PAT20(ESO)_AD341,PAT20(ESO)_E_321,1
PAT20(ESO)_AD343,PAT20(CARD)_F_376,1
PAT20(ESO)_AD345,PAT20(CARD)_F_168,1
PAT20(ESO)_AD350,PAT6(LGD)_H_321,1
PAT20(ESO)_AD351,PAT20(ESO)_E_167,1
PAT20(ESO)_AD352,PAT19(LGD)_B_201,1
PAT20(ESO)_AD353,PAT20(ESO)_E_351,1
PAT20(ESO)_AD354,PAT20(CARD)_F_102,1
PAT20(ESO)_AD355,PAT14(NDBE)_D_268,1
PAT20(ESO)_AD357,PAT20(ESO)_E_297,1
PAT20(ESO)_AD358,PAT9(NDBE)_J_282,1
PAT20(ESO)_AD359,PAT19(LGD)_B_173,1
PAT20(ESO)_AD360,PAT20(CARD)_F_246,1
PAT20(ESO)_AD362,PAT14(NDBE)_D_330,1
PAT20(ESO)_AD364,PAT19(LGD)_B_299,1
PAT20(ESO)_AD366,PAT6(HGD)_I_216,1
PAT20(ESO)_AD371,PAT16(NDBE)_B_113,1
PAT20(ESO)_AD372,PAT9(NDBE)_J_310,1
PAT20(ESO)_AD376,PAT20(ESO)_E_133,1
