,clone0,clone1,clone2,clone3
ENSG00000164713,1.1714285714285715,2.8536585365853657,2.0,2.0
ENSG00000106305,3.914285714285714,2.951219512195122,2.0,3.75
ENSG00000100281,1.457142857142857,2.0,2.0,2.0
ENSG00000115641,2.1714285714285713,2.0,2.076923076923077,3.25
ENSG00000151790,1.457142857142857,1.951219512195122,2.0,1.0
ENSG00000170608,2.0,2.0,2.0,1.25
ENSG00000170899,2.0,1.975609756097561,2.0,1.75
ENSG00000115211,1.9428571428571428,2.024390243902439,2.0,3.25
ENSG00000255833,2.085714285714286,2.0,2.0,2.5
ENSG00000118412,2.0,1.951219512195122,2.0,2.0
ENSG00000204463,2.0,1.951219512195122,2.0,1.75
ENSG00000258708,1.9142857142857144,2.024390243902439,2.0,2.0
ENSG00000106723,1.1142857142857143,1.951219512195122,2.0,1.0
ENSG00000155008,2.1714285714285713,2.7560975609756095,2.0,1.75
ENSG00000076928,2.0,2.0,2.0,1.25
ENSG00000174010,2.4857142857142858,2.7560975609756095,2.0,1.75
ENSG00000079387,1.2285714285714286,1.951219512195122,2.0,2.0
ENSG00000066855,4.371428571428571,4.2439024390243905,2.0,4.75
ENSG00000104980,1.9714285714285715,2.0,2.0,2.0
ENSG00000156983,1.6571428571428573,2.0,2.0,2.0
ENSG00000173786,2.0,2.024390243902439,2.0,2.25
ENSG00000083093,1.3142857142857143,1.975609756097561,2.0,2.0
ENSG00000073350,2.0285714285714285,2.024390243902439,2.0,2.25
ENSG00000167280,2.0285714285714285,2.024390243902439,2.0,2.25
ENSG00000213920,1.9142857142857144,2.024390243902439,2.0,2.0
ENSG00000130822,2.142857142857143,2.707317073170732,2.0,1.75
ENSG00000157578,1.6571428571428573,1.975609756097561,2.0,1.25
ENSG00000164615,2.085714285714286,2.0,2.0,2.5
ENSG00000101181,5.057142857142857,5.024390243902439,2.0,4.75
ENSG00000126822,1.9428571428571428,2.024390243902439,2.0,2.0
ENSG00000166949,1.2285714285714286,2.0,2.0,1.25
ENSG00000004809,2.0,1.951219512195122,2.0,2.0
ENSG00000123685,1.9428571428571428,1.951219512195122,2.0,1.0
ENSG00000207067,4.371428571428571,5.073170731707317,2.0,4.75
ENSG00000258947,1.3714285714285714,2.0,2.0,2.0
ENSG00000160471,2.0,1.975609756097561,2.0,1.25
ENSG00000273749,1.2571428571428571,1.9024390243902438,2.0,1.25
ENSG00000169252,2.0285714285714285,1.6829268292682926,2.0,2.5
ENSG00000139921,1.9428571428571428,2.024390243902439,2.0,2.0
ENSG00000072958,1.9714285714285715,2.0,2.0,2.0
ENSG00000119508,1.0857142857142856,1.975609756097561,2.0,1.0
ENSG00000109255,1.3142857142857143,2.0,2.0,1.0
ENSG00000176200,2.0,2.8292682926829267,2.0,1.5
ENSG00000178026,1.4857142857142858,2.0,2.0,2.0
ENSG00000138772,2.657142857142857,2.0,2.0,1.0
ENSG00000125872,1.0,2.0,2.0,1.0
ENSG00000185730,4.6571428571428575,5.024390243902439,2.0,4.75
ENSG00000197956,1.9428571428571428,2.0,2.0,1.0
ENSG00000079785,2.257142857142857,2.024390243902439,2.0,3.5
ENSG00000113594,2.0285714285714285,2.0,2.0,2.0
ENSG00000121966,2.085714285714286,2.0,2.0,3.25
ENSG00000156298,2.4285714285714284,2.7804878048780486,2.0,1.75
ENSG00000181513,2.0,2.024390243902439,2.0,2.25
ENSG00000120915,0.7142857142857143,1.0,2.0,0.25
ENSG00000176853,4.3428571428571425,5.073170731707317,2.0,4.75
ENSG00000162144,2.0,2.8536585365853657,2.0,1.5
ENSG00000196684,1.9714285714285715,2.0,2.0,2.0
ENSG00000215915,1.0,1.0,2.0,1.0
